player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,link,csv_file
allenra02,2013,38.0,MIA,NBA,SG,73.0,9.0,26.5,3.3,7.4,0.442,1.6,4.2,0.375,1.7,3.2,0.53,0.5489999999999999,1.4,1.6,0.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6,https://www.basketball-reference.com/players/a/allenra02.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allenra02.csv
allento01,2009,28.0,BOS,NBA,SG,54.0,8.0,16.5,2.4,4.7,0.51,0.0,0.1,0.0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2010,29.0,MEM,NBA,SG,72.0,31.0,20.8,3.5,6.8,0.51,0.1,0.3,0.174,3.4,6.5,0.527,0.514,1.9,2.5,0.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2011,30.0,MEM,NBA,SG,58.0,57.0,26.3,3.6,7.7,0.469,0.1,0.4,0.308,3.5,7.3,0.479,0.478,2.4,3.0,0.8,1.7,2.3,4.0,1.4,1.8,0.6,1.6,2.4,9.8,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2012,31.0,MEM,NBA,SG,79.0,79.0,26.7,3.6,8.1,0.445,0.0,0.3,0.125,3.6,7.8,0.45799999999999996,0.447,1.7,2.4,0.7170000000000001,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2013,32.0,MEM,NBA,SG,55.0,28.0,23.2,3.7,7.5,0.494,0.2,0.9,0.23399999999999999,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2014,33.0,MEM,NBA,SG,63.0,41.0,26.2,3.6,7.2,0.495,0.2,0.5,0.345,3.4,6.8,0.505,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2015,34.0,MEM,NBA,SG,64.0,57.0,25.3,3.4,7.3,0.45799999999999996,0.2,0.7,0.35700000000000004,3.1,6.7,0.46799999999999997,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2016,35.0,MEM,NBA,SG,71.0,66.0,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
allento01,2017,36.0,NOP,NBA,SF,22.0,0.0,12.4,2.0,4.1,0.484,0.2,0.5,0.33299999999999996,1.8,3.6,0.506,0.505,0.5,1.0,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,https://www.basketball-reference.com/players/a/allento01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/allento01.csv
alstora01,2009,33.0,TOT,NBA,PG,52.0,38.0,27.3,3.0,8.6,0.348,1.1,3.2,0.345,1.9,5.3,0.349,0.413,1.1,1.6,0.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2,https://www.basketball-reference.com/players/a/alstora01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/alstora01.csv
aminual01,2014,24.0,DAL,NBA,SF,74.0,3.0,18.5,2.0,4.8,0.41200000000000003,0.5,1.7,0.27399999999999997,1.5,3.1,0.485,0.45899999999999996,1.1,1.6,0.7120000000000001,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,https://www.basketball-reference.com/players/a/aminual01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aminual01.csv
aminual01,2015,25.0,POR,NBA,SF,82.0,82.0,28.5,3.6,8.8,0.41600000000000004,1.5,4.3,0.361,2.1,4.5,0.46799999999999997,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,https://www.basketball-reference.com/players/a/aminual01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aminual01.csv
aminual01,2016,26.0,POR,NBA,PF,61.0,25.0,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.9,4.2,0.445,0.46799999999999997,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,https://www.basketball-reference.com/players/a/aminual01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aminual01.csv
aminual01,2017,27.0,POR,NBA,PF,69.0,67.0,30.0,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.4320000000000001,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,https://www.basketball-reference.com/players/a/aminual01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aminual01.csv
aminual01,2018,28.0,POR,NBA,PF,81.0,81.0,28.3,3.2,7.3,0.433,1.2,3.5,0.34299999999999997,2.0,3.9,0.514,0.514,1.9,2.1,0.867,1.4,6.1,7.5,1.3,0.8,0.4,0.9,1.8,9.4,https://www.basketball-reference.com/players/a/aminual01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/aminual01.csv
amundlo01,2009,27.0,PHO,NBA,PF,79.0,0.0,14.8,1.9,3.5,0.551,0.0,0.0,0.0,1.9,3.5,0.5529999999999999,0.551,0.8,1.6,0.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7,https://www.basketball-reference.com/players/a/amundlo01.html,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\player_stats/amundlo01.csv
